BookedFlightNum,FName,LName,CCNum,FlightNum,DepartureDate,AmtPaid,Cancelled
1,Jane,Doe,1010101010101010,PA 1014,6/19/2023,145.19,N
1,Jane,Doe,1010101010101011,PA 1053,6/19/2023,297.52,N
1,Jane,Doe,1010101010101012,PA 1040,6/19/2023,79.09,N
2,Jane,Doe,1010101010101013,PA 1010,7/1/2023,61.7,N
3,Olivia,Fromm,1234123412341230,PA 1014,6/19/2023,14519 points,N
3,Olivia,Fromm,1234123412341231,PA 1053,6/19/2023,29752 points,N
3,Olivia,Fromm,1234123412341232,PA 1040,6/19/2023,7909 points,N
4,Olivia,Fromm,1234123412341233,PA 1095,5/1/2023,31552 points,N
5,Olivia,Fromm,1234123412341230,PA 1001,5/1/2023,103.28,N
5,Olivia,Fromm,1234123412341231,PA 1024,5/1/2023,68.56,N
5,Olivia,Fromm,1234123412341232,PA 1008,5/3/2023,68.56,N
5,Olivia,Fromm,1234123412341233,PA 1021,5/3/2023,114.76,N
6,Olivia,Fromm,1234123412341234,PA 1098,10/10/2023,155.45,N
6,Olivia,Fromm,1234123412341235,PA 1061,10/10/2023,102.28,N
6,Olivia,Fromm,1234123412341236,PA 1093,10/13/2023,260.68,N
6,Olivia,Fromm,1234123412341237,PA 1043,10/13/2023,261.29,N
7,Jane,Doe,1010101010101010,PA 1093,5/1/2023,260.68,N
7,Jane,Doe,1010101010101011,PA 1041,5/2/2023,260.68,N
8,Olivia,Fromm,1234123412341230,PA 1001,5/10/2023,103.28,Y
8,Olivia,Fromm,1234123412341231,PA 1021,6/10/2023,114.76,Y
9,Olivia,Fromm,1234123412341232,PA 1010,5/5/2023,6170 points,N
9,Olivia,Fromm,1234123412341233,PA 1026,5/7/2023,6170 points,N
10,Olivia,Fromm,1234123412341234,PA 1037,5/5/2023,139.42,N
10,Olivia,Fromm,1234123412341235,PA 1088,5/5/2023,302.56,N
10,Olivia,Fromm,1234123412341236,PA 1051,5/5/2023,162.04,N
10,Olivia,Fromm,1234123412341237,PA 1098,5/19/2023,155.45,N
10,Olivia,Fromm,1234123412341238,PA 1054,5/19/2023,267.77,N
